SellerIsPriv,VehMake,VehMileage,Dealer_Listing_Price,Car_Age,Num_Owners,Accident,VehColorExt_Black,VehColorExt_Blue,VehColorExt_Bronze,VehColorExt_Brown,VehColorExt_Gold,VehColorExt_Gray,VehColorExt_Green,VehColorExt_Pink,VehColorExt_Purple,VehColorExt_Red,VehColorExt_Silver,VehColorExt_White,VehFuel_E85 Flex Fuel,VehFuel_Gasoline,VehDriveTrain_4WD,VehDriveTrain_AWD,VehDriveTrain_FWD,VehPriceLabel_Good Deal,VehPriceLabel_Great Deal,SellerRating_poor,SellerRating_average,SellerRating_good
False,0,39319.0,30990.0,8,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True
False,0,38957.0,23249.0,8,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True
False,0,20404.0,31977.0,5,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
False,1,19788.0,33495.0,5,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False
False,0,34649.0,27900.0,5,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False
False,0,48814.0,22989.0,6,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False
False,0,29095.0,28793.0,5,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True
False,0,26395.0,30493.0,5,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False
False,0,17692.0,36500.0,5,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True
False,0,32858.0,28000.0,8,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
False,0,34437.0,29996.0,6,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True
False,0,15285.0,36895.0,5,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False
False,1,21098.0,35830.0,5,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False
False,1,3547.0,45988.0,4,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True
False,0,14751.0,38376.0,5,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False
False,0,13354.0,32990.0,5,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True
False,1,12146.0,32998.0,6,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True
False,0,43231.0,22877.0,8,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True
False,1,28293.0,34782.0,5,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
False,1,25410.0,36500.0,5,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
False,0,46196.0,26072.0,6,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True
False,0,30726.0,19997.0,8,1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
False,0,35990.0,31750.0,8,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
False,0,12912.0,31992.0,6,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True
False,0,39544.0,24999.0,8,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
False,0,31486.0,30998.0,8,1,0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False
False,0,12247.0,39259.0,5,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
False,0,30431.0,35000.0,7,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True
False,1,26421.0,27750.0,6,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
False,0,28241.0,25998.0,8,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
